Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Ivan Castillo,Padres ,AA,24,76,321,344,107,72,23,5,7,49,50,13,0,47,3,6,1,6,11,4,0.333333333,sa657222,SS
2019,Angel Aguilar,Yankees ,A+,24,32,105,113,25,18,5,0,2,13,12,4,0,24,0,3,1,2,4,0,0.238095238,sa657323,SS
2019,Osvaldo Abreu,Nationals ,A+,25,80,284,320,76,53,20,0,3,35,36,27,0,75,7,0,2,7,7,5,0.267605633,sa657398,SS
2019,Alberti Chavez,Reds ,AAA,23,30,81,93,18,15,1,1,1,14,5,8,0,19,1,3,0,1,1,1,0.222222222,sa657456,SS
2019,Alberti Chavez,Reds ,AA,23,11,26,30,5,4,1,0,0,1,1,3,0,7,0,1,0,0,0,1,0.192307692,sa657456,SS
2019,Malquin Canelo,Phillies ,AAA,24,97,328,366,85,59,22,2,2,47,28,24,1,101,3,3,8,3,5,10,0.259146341,sa657479,SS
2019,Jorge Mateo,Athletics ,AAA,24,96,438,465,132,77,25,13,17,80,72,23,1,117,3,1,0,4,21,9,0.301369863,sa657910,SS
2019,Bruce Caldwell,Brewers ,AA,27,73,227,256,52,32,14,0,6,25,37,24,0,66,0,4,1,5,1,2,0.229074889,sa658271,SS
2019,Donnie Walton,Mariners ,AA,25,96,366,430,106,83,12,1,10,58,41,51,0,58,9,2,2,7,8,10,0.289617486,sa659038,SS
2019,Zach Remillard,White Sox ,A+,25,95,357,401,103,82,15,1,5,50,37,33,1,89,6,1,3,5,6,3,0.288515406,sa659077,SS
2019,Erick Mejia,Royals ,AAA,24,99,377,429,102,75,17,6,4,63,47,42,0,74,3,3,4,3,14,5,0.270557029,sa694960,SS
2019,Mike Ahmed,Mariners ,AA,27,42,147,160,39,26,10,2,1,9,11,8,0,51,3,1,1,3,5,1,0.265306122,sa705802,SS
2019,Rayder Ascanio,Cardinals ,AA,23,47,167,180,42,27,11,0,4,20,23,11,1,39,2,0,0,7,2,1,0.251497005,sa735861,SS
2019,Johan Cruz,White Sox ,A,23,45,159,185,47,31,9,1,6,25,26,20,0,36,2,2,2,3,0,0,0.295597484,sa736621,SS
2019,Johan Cruz,White Sox ,A+,23,11,32,39,8,5,2,0,1,6,4,6,0,11,0,0,1,1,0,0,0.25,sa736621,SS
2019,Ray-Patrick Didder,Braves ,AA,24,85,250,301,50,32,13,1,4,35,23,38,0,97,12,1,0,1,16,6,0.2,sa736824,SS
2019,Luis Gonzalez,Reds ,AAA,24,13,38,42,10,8,2,0,0,8,3,4,0,9,0,0,0,2,0,1,0.263157894,sa736875,SS
2019,Luis Gonzalez,Reds ,AA,24,17,46,51,15,9,5,1,0,9,8,3,0,7,1,0,1,0,0,0,0.326086956,sa736875,SS
2019,Jose Martinez,Cardinals ,A+,22,41,139,152,29,25,2,2,0,14,7,10,0,19,0,2,1,5,5,0,0.208633093,sa736960,SS
2019,Jose Martinez,Cardinals ,AA,22,23,79,91,20,16,3,0,1,7,5,11,0,18,0,1,0,2,1,0,0.253164556,sa736960,SS
2019,Riley Unroe,Braves ,AA,23,52,186,208,54,41,10,1,2,18,25,17,1,43,2,1,2,2,7,2,0.29032258,sa737614,SS
2019,Riley Unroe,Braves ,A+,23,38,138,162,42,29,9,1,3,25,20,20,1,34,3,1,0,3,4,2,0.304347826,sa737614,SS
2019,Edwin Diaz,Athletics ,AA,23,101,358,404,84,42,27,6,9,45,48,35,1,114,7,2,2,4,2,1,0.234636871,sa738152,SS
2019,Luis Aviles Jr.,Brewers ,AA,24,75,263,303,67,52,13,0,2,44,29,31,1,77,1,5,3,5,25,6,0.254752851,sa738445,SS
2019,Eli White,Rangers ,AAA,25,98,376,427,90,57,16,5,12,51,37,35,0,120,12,3,1,8,12,4,0.239361702,sa738478,SS
2019,Trever Morrison,Brewers ,A+,24,8,28,30,5,3,2,0,0,2,2,1,0,14,1,0,0,1,0,0,0.178571428,sa738906,SS
2019,Sergio Alcantara,Tigers ,AA,22,89,281,330,66,55,9,0,2,37,25,43,0,62,2,2,2,5,6,5,0.234875444,sa739641,SS
2019,Ariel Montesino,Braves ,A,23,43,136,157,25,15,8,1,1,9,11,11,1,45,3,4,3,4,6,1,0.183823529,sa745012,SS
2019,Offerman Collado,Royals ,A+,23,12,30,33,7,6,1,0,0,3,1,2,0,4,1,0,0,2,0,0,0.233333333,sa745014,SS
2019,Michael De Leon,Rangers ,AA,22,96,360,390,93,78,12,0,3,38,32,24,1,43,4,1,1,8,3,2,0.258333333,sa823925,SS
2019,Luis Carpio,Mets ,AA,21,56,174,199,44,32,10,0,2,23,14,21,0,38,2,0,2,6,1,4,0.252873563,sa827960,SS
2019,Manuel Geraldo,Giants ,A+,22,93,361,390,83,64,12,4,3,37,35,24,1,105,0,0,5,11,16,1,0.229916897,sa827970,SS
