Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Jonathan Davis,Blue Jays (AAA),27,56,190,237,49,22,17,1,9,47,25,34,1,60,12,0,1,2,6,2,0.257894736,15104,OF
2019,Dylan Cozens,Phillies (AAA),25,23,78,99,13,4,1,2,6,20,15,20,0,42,0,1,0,0,5,2,0.166666666,15115,OF
2019,Jordan Patterson,Blue Jays (AAA),27,88,304,339,73,41,17,2,13,54,40,22,2,107,10,1,2,12,3,1,0.240131578,15119,OF
2019,Tim Locastro,Diamondbacks (AAA),26,24,97,114,32,14,8,2,8,29,16,9,0,17,7,0,1,0,8,1,0.329896907,15124,OF
2019,Ryan Cordell,White Sox (AAA),27,7,31,32,10,5,3,1,1,6,6,1,0,10,0,0,0,0,0,0,0.322580645,15181,OF
2019,Mike Tauchman,Yankees (AAA),28,28,95,114,26,11,10,3,2,22,16,16,1,16,2,1,0,1,4,0,0.27368421,15274,OF
2019,Zack Granite,Rangers (AAA),26,89,372,398,109,88,13,5,3,44,28,22,0,33,2,2,0,5,19,11,0.293010752,15343,OF
2019,Nate Orf,Brewers (AAA),29,95,316,378,86,57,20,1,8,64,40,40,1,59,18,1,3,2,10,3,0.272151898,15407,OF
2019,Aristides Aquino,Reds (AAA),25,78,294,323,88,46,13,1,28,56,53,23,0,81,4,2,0,5,5,1,0.299319727,15482,OF
2019,Victor Reyes,Tigers (AAA),24,74,289,308,88,58,19,1,10,50,58,14,1,50,1,4,0,6,10,6,0.304498269,15487,OF
2019,Justin Williams,Cardinals (AA),23,17,57,61,11,9,1,0,1,7,3,4,0,17,0,0,0,1,1,0,0.192982456,15490,OF
2019,Willians Astudillo,Twins (AAA),27,9,38,40,20,17,0,0,3,10,11,1,0,1,0,1,0,1,1,1,0.526315789,15608,OF
2019,Jacob Hannemann,Cubs (AAA),28,44,117,136,29,16,7,1,5,21,15,15,0,22,1,2,1,0,8,3,0.247863247,15644,OF
2019,Billy McKinney,Blue Jays (AAA),24,31,110,132,30,16,7,3,4,15,18,19,1,19,2,1,0,1,0,1,0.272727272,15654,OF
