last_name,first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Wong,Kolten,543939,138,STL,2B,29,55,4.19,27.4
Escobar,Eduardo,500871,109,ARI,3B,30,62,4.33,27.4
Peterson,Dustin,640460,116,DET,LF,25,21,4.51,27.3
Lin,Tzu-Wei,624407,111,BOS,2B,25,15,,27.3
Williams,Nick,608384,143,PHI,LF,26,17,,27.3
Newman,Kevin,621028,134,PIT,SS,26,13,,27.3
Martin,Leonys,547982,114,CLE,CF,31,47,4.42,27.3
Cave,Jake,595909,142,MIN,RF,27,22,,27.3
Severino,Pedro,600474,110,BAL,C,26,20,4.47,27.3
Ozuna,Marcell,542303,138,STL,LF,29,63,4.52,27.3
Verdugo,Alex,657077,119,LAD,RF,23,52,4.27,27.3
Pinder,Chad,640461,133,OAK,LF,27,51,4.39,27.3
Rodriguez,Ronny,500135,116,DET,SS,27,22,,27.3
Villar,Jonathan,542340,110,BAL,2B,28,79,4.24,27.3
Harrison,Josh,543281,116,DET,2B,32,31,4.24,27.3
Heyward,Jason,518792,112,CHC,CF,30,49,4.33,27.3
DeJong,Paul,657557,138,STL,SS,26,58,4.46,27.2
Herrera,Odubel,546318,143,PHI,CF,28,35,4.19,27.2
Desmond,Ian,435622,115,COL,CF,34,49,4.43,27.2
Rondon,Jose,602922,145,CWS,2B,25,23,,27.2
Gurriel Jr.,Lourdes,666971,141,TOR,2B,26,14,,27.2
Nunez,Renato,600524,110,BAL,DH,25,39,4.55,27.2
Estrada,Thairo,642731,147,NYY,2B,23,10,,27.2
Profar,Jurickson,595777,133,OAK,2B,26,48,4.31,27.2
O'Hearn,Ryan,656811,118,KC,1B,26,49,4.46,27.2
Bregman,Alex,608324,117,HOU,3B,25,35,4.42,27.1
Kepler,Max,596146,142,MIN,RF,26,52,4.3,27.1
Robertson,Daniel,621002,139,TB,3B,25,46,4.57,27.1
Schoop,Jonathan,570731,142,MIN,2B,28,61,4.56,27.1
Urena,Richard,620446,141,TOR,2B,23,21,,27.1
Rosario,Eddie,592696,142,MIN,LF,28,51,4.39,27.1
Jones,Adam,430945,109,ARI,RF,34,73,4.44,27.1
Renfroe,Hunter,592669,135,SD,LF,27,36,4.44,27.1
Grossman,Robbie,543257,133,OAK,LF,30,33,4.34,27.1
Austin,Tyler,592122,137,SF,1B,28,19,,27
Jimenez,Eloy,650391,145,CWS,LF,23,33,4.43,27
Kieboom,Carter,666198,120,WSH,SS,22,10,,27
Walker,Christian,572233,109,ARI,1B,28,53,4.59,27
Ramirez,Jose,608070,114,CLE,3B,27,43,,27
Stewart,Christin,621514,116,DET,LF,26,24,,27
Sanchez,Yolmer,570560,145,CWS,2B,27,31,,27
Reyes,Pablo,622569,134,PIT,LF,26,14,,27
Rendon,Anthony,543685,120,WSH,3B,29,32,,27
Barnes,Austin,605131,119,LAD,C,30,41,4.49,27
d'Arnaud,Travis,518595,119,LAD,C,30,10,,26.9
Frazier,Adam,624428,134,PIT,2B,28,49,4.33,26.9
Peralta,David,444482,109,ARI,LF,32,78,4.39,26.9
Seager,Corey,608369,119,LAD,SS,25,56,4.53,26.9
Gonzalez,Carlos,471865,114,CLE,LF,34,40,4.29,26.9
Haniger,Mitch,571745,136,SEA,RF,29,64,4.48,26.9
Andrus,Elvis,462101,140,TEX,SS,31,64,4.42,26.9
Blackmon,Charlie,453568,115,COL,RF,33,80,4.29,26.9
Mancini,Trey,641820,110,BAL,RF,27,62,4.57,26.9
Iglesias,Jose,578428,113,CIN,SS,29,66,4.17,26.8
Bradley Jr.,Jackie,598265,111,BOS,CF,29,41,4.44,26.8
Schwarber,Kyle,656941,112,CHC,LF,26,31,4.3,26.8
Dozier,Brian,572821,120,WSH,2B,32,42,4.5,26.8
Simmons,Andrelton,592743,108,LAA,SS,30,84,4.6,26.8
Reynolds,Bryan,668804,134,PIT,LF,24,21,,26.8
Delmonico,Nicky,547170,145,CWS,LF,27,14,,26.8
Greiner,Grayson,606988,116,DET,C,27,37,4.5,26.8
Drury,Brandon,592273,141,TOR,3B,27,43,4.45,26.8
Zobrist,Ben,450314,112,CHC,RF,38,45,4.39,26.8
Santana,Domingo,570267,136,SEA,LF,27,62,4.5,26.8
Hanson,Alen,593700,141,TOR,2B,27,18,,26.8
Kipnis,Jason,543401,114,CLE,2B,32,32,,26.8
Gutierrez,Kelvin,642721,118,KC,3B,25,24,,26.7
Torres,Gleyber,650402,147,NYY,SS,23,53,4.5,26.7
Gomes,Yan,543228,120,WSH,C,32,29,4.54,26.7
Mazara,Nomar,608577,140,TEX,RF,24,49,4.43,26.7
Palka,Daniel,594953,145,CWS,RF,28,13,,26.7
