Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Sincere Smith,Yankees (R),19,12,27,31,9,4,3,1,1,7,7,2,0,5,1,1,0,0,1,0,0.333333333,sa3008082,2B
2019,Nick Madrigal,White Sox (AA),22,42,164,180,56,42,11,2,1,30,16,14,0,5,2,0,0,1,14,6,0.341463414,sa3008139,2B
2019,Nick Madrigal,White Sox (A+),22,49,191,218,52,38,10,2,2,20,27,17,2,6,6,3,1,6,17,4,0.272251308,sa3008139,2B
2019,Cadyn Grenier,Orioles (A),22,82,308,364,78,50,18,3,7,49,39,48,0,107,5,3,0,2,5,1,0.253246753,sa3008140,2B
2019,Deacon Liput,Dodgers (A+),23,57,212,243,48,33,9,2,4,33,25,29,1,87,0,0,2,2,8,8,0.226415094,sa3008141,2B
2019,Hunter Stovall,Rockies (A),22,18,57,70,16,8,7,1,0,9,2,12,0,12,1,0,0,5,1,3,0.280701754,sa3008181,2B
2019,Augusto Acevedo,Cubs (R),18,18,51,66,10,7,1,0,2,9,8,12,0,17,2,1,0,1,2,1,0.196078431,sa3008191,2B
2019,Michael Davis,Twins (AA),23,19,64,71,10,4,2,3,1,11,5,6,0,31,1,0,0,0,1,0,0.15625,sa3008248,2B
2019,Charles Mack,Twins (R),19,33,127,143,28,20,3,0,5,24,16,14,0,44,2,0,0,3,0,0,0.22047244,sa3008250,2B
2019,Jax Biggers,Rangers (A),22,44,144,170,39,31,4,2,2,25,14,20,0,17,1,2,3,2,6,4,0.270833333,sa3008251,2B
2019,Michael Helman,Twins (A+),23,82,284,306,56,39,13,1,3,26,25,17,0,40,1,3,1,5,3,3,0.197183098,sa3008280,2B
2019,Brice Turang,Brewers (A),19,82,303,357,87,68,13,4,2,57,31,49,2,54,1,4,0,2,21,4,0.287128712,sa3008294,2B
2019,Andrew Fregia,Orioles (A-),22,28,86,97,21,14,6,0,1,7,10,6,0,32,2,3,0,0,3,1,0.244186046,sa3008295,2B
2019,LeeMarcus Boyd,Rockies (A),23,17,57,61,14,8,4,0,2,9,12,2,0,10,1,0,1,3,1,1,0.245614035,sa3008318,2B
2019,Wilker Velasquez,Mets (R),18,39,139,146,32,29,1,2,0,11,15,4,0,30,1,2,0,8,1,3,0.230215827,sa3008364,2B
2019,Ronny Simon,Cubs (R),19,41,123,139,41,24,10,5,2,23,17,12,0,17,1,1,2,0,12,5,0.333333333,sa3008365,2B
2019,Jett Manning,Giants (A+),22,27,75,85,19,15,3,0,1,9,4,8,0,29,2,0,0,1,3,0,0.253333333,sa3008409,2B
2019,Jett Manning,Giants (A),22,11,38,41,7,4,3,0,0,3,1,2,0,15,1,0,0,0,1,1,0.184210526,sa3008409,2B
2019,Ruben De Leon,Royals (R),18,23,51,62,7,6,1,0,0,11,7,9,0,12,2,0,0,0,5,1,0.137254901,sa3008419,2B
2019,Juan Mora,Cubs (R),19,45,145,178,37,25,4,4,4,36,16,23,0,25,8,2,0,3,12,3,0.255172413,sa3008469,2B
2019,Yohandry Sequera,Dodgers (R),19,13,40,52,10,8,2,0,0,8,5,10,0,9,1,1,0,1,0,1,0.25,sa3008476,2B
2019,Michael Stefanic,Angels (A+),23,51,190,218,52,41,7,1,3,36,22,18,1,23,10,0,0,9,6,2,0.27368421,sa3008479,2B
2019,D.C. Arendas,Angels (A+),25,28,95,113,18,11,5,1,1,11,6,13,0,49,5,0,0,0,1,0,0.189473684,sa3008616,2B
2019,Angel Martinez,Indians (R),17,40,163,188,46,31,8,6,1,24,22,20,0,23,4,0,1,3,7,3,0.282208588,sa3008762,2B
2019,Daury Del Rosario,Rays (R),17,43,153,184,27,21,4,1,1,17,18,22,0,42,5,3,1,4,3,7,0.176470588,sa3008764,2B
2019,Luisangel Acuna,Rangers (R),17,41,164,192,60,49,7,3,1,52,24,26,0,19,1,1,0,3,15,4,0.365853658,sa3008765,2B
2019,Dayan Frias,Indians (R),17,40,134,177,29,22,4,3,0,25,15,37,0,25,1,3,2,3,10,5,0.21641791,sa3008768,2B
2019,Jesus Lara,Indians (R),17,41,137,184,22,13,6,2,1,26,16,37,0,15,9,1,0,3,3,2,0.160583941,sa3008769,2B
2019,Isan Castillo,Nationals (R),17,33,119,145,26,21,3,2,0,21,9,21,0,43,4,1,0,2,8,3,0.218487394,sa3008779,2B
2019,Asdrubal Bueno,Mariners (R),17,10,31,35,9,5,2,0,2,7,5,4,0,7,0,0,0,1,0,0,0.29032258,sa3008786,2B
2019,Carlos Fernandez,Mariners (R),17,24,67,76,16,15,1,0,0,11,6,7,0,16,0,0,2,0,1,0,0.23880597,sa3008788,2B
2019,Luis Rubio,Diamondbacks (R),17,42,160,199,43,37,3,3,0,24,19,34,0,34,3,2,0,3,5,5,0.26875,sa3008797,2B
2019,Michael James,Rockies (R),17,40,154,182,40,22,11,2,5,31,28,19,0,43,5,4,0,1,11,4,0.259740259,sa3008798,2B
2019,Pedro Mota,Rockies (R),17,37,128,161,34,19,11,2,2,22,18,23,0,29,5,2,3,1,10,3,0.265625,sa3008800,2B
2019,Alixandri Alvarez,Red Sox (R),17,33,117,143,25,22,2,1,0,22,20,19,0,23,3,4,0,0,6,2,0.213675213,sa3008802,2B
2019,Anthony Espinoza,White Sox (R),17,43,153,180,38,30,6,1,1,29,27,15,0,21,7,5,0,1,7,5,0.248366013,sa3008812,2B
2019,Thomas Lora,Reds (R),17,34,138,161,34,22,11,0,1,30,18,19,0,28,2,2,0,0,11,6,0.246376811,sa3008816,2B
2019,Alexander Then,Braves (R),17,42,133,150,29,23,6,0,0,23,17,13,0,46,2,1,1,4,3,3,0.218045112,sa3008822,2B
2019,Angel Cruz,Tigers (R),17,38,151,171,37,23,12,2,0,33,16,14,0,29,3,2,1,1,4,2,0.245033112,sa3008831,2B
2019,Ricardo Balogh,Astros (R),16,31,63,79,12,12,0,0,0,9,9,12,0,27,3,1,0,2,3,1,0.19047619,sa3008835,2B
2019,Deivy Pena,Royals (R),18,37,114,140,18,13,4,1,0,17,13,18,2,58,4,2,2,1,1,3,0.157894736,sa3008840,2B
2019,Gilberto Machado,Orioles (R),18,38,115,140,20,14,5,1,0,20,8,20,0,10,5,0,0,2,0,1,0.173913043,sa3008855,2B
2019,Darimel Mora,Angels (R),16,39,156,173,34,30,4,0,0,25,11,16,0,27,1,0,0,2,8,7,0.217948717,sa3008861,2B
2019,Jorge Jimenez,Angels (R),17,31,115,137,35,30,4,1,0,19,19,18,0,20,0,2,2,1,8,4,0.304347826,sa3008863,2B
2019,Jesus Parra,Brewers (R),16,45,164,195,43,24,14,1,4,31,32,19,0,45,11,1,0,2,8,1,0.262195121,sa3008867,2B
2019,Jose Rosario,Twins (R),17,30,83,108,24,22,1,1,0,17,11,24,0,12,1,0,0,1,12,2,0.289156626,sa3008871,2B
2019,Nelson Beltran,Athletics (R),17,33,97,113,14,14,0,0,0,13,7,12,0,31,2,1,1,1,8,1,0.144329896,sa3008874,2B
2019,Junior Paniagua,Rangers (R),17,37,143,169,38,32,3,2,1,21,19,21,0,22,1,4,0,3,3,1,0.265734265,sa3008875,2B
2019,Maikol Escotto,Yankees (R),17,33,138,166,46,28,8,3,7,36,22,24,0,45,3,0,1,2,7,3,0.333333333,sa3008878,2B
2019,Deivis Nadal,Pirates (R),17,41,148,180,44,34,7,1,2,35,20,20,2,29,7,1,4,0,9,3,0.297297297,sa3008879,2B
2019,Angel Geraldo,Nationals (R),18,38,152,161,43,30,12,0,1,16,19,3,0,25,3,1,2,2,3,2,0.282894736,sa3008891,2B
2019,Juan Jerez,Pirates (R),17,42,163,180,42,24,10,4,4,23,26,11,0,36,3,3,0,2,5,2,0.257668711,sa3008892,2B
2019,Charlis Aquino,Padres (R),17,31,125,141,33,23,9,1,0,30,18,10,0,26,5,1,0,3,5,3,0.264,sa3008895,2B
2019,Francisco Fajardo,Blue Jays (R),19,36,115,127,35,27,6,1,1,22,8,11,0,13,1,0,0,1,19,3,0.304347826,sa3008898,2B
2019,Reyber Bermudez,Rangers (R),17,19,56,77,7,5,2,0,0,6,4,15,0,14,4,0,2,2,1,0,0.125,sa3008903,2B
2019,Adrian Montero,Blue Jays (R),17,30,94,117,29,22,6,1,0,23,14,18,0,7,5,0,0,2,14,4,0.308510638,sa3008911,2B
2019,Diego Verbel,Giants (R),16,36,117,147,30,24,6,0,0,22,11,24,0,42,5,1,0,0,3,2,0.256410256,sa3008918,2B
2019,Derek Escobar,Phillies (R),17,16,50,69,14,11,3,0,0,12,5,11,0,11,7,1,0,0,5,7,0.28,sa3008921,2B
2019,Raulyn Blanc,Phillies (R),17,47,161,187,36,26,8,2,0,18,19,18,0,46,2,2,4,3,13,2,0.223602484,sa3008925,2B
2019,Wilber Sanchez,White Sox (R),17,37,133,153,38,25,10,3,0,27,18,18,0,23,2,0,0,0,10,4,0.285714285,sa3008941,2B
2019,Geraldo Quintero,Braves (R),17,38,125,153,29,23,5,0,1,20,14,22,0,20,3,1,2,3,12,8,0.232,sa3008942,2B
2019,Albert Inoa,Cardinals (R),17,40,149,195,44,35,6,2,1,36,21,37,0,34,8,1,0,5,10,3,0.295302013,sa3008948,2B
2019,Kevin Reyes,Royals (R),17,41,115,135,24,21,3,0,0,22,8,16,0,33,1,0,3,1,20,7,0.208695652,sa3008951,2B
2019,Ivan Burgos,Rockies (R),17,9,24,32,5,4,1,0,0,5,4,6,0,5,2,0,0,2,1,2,0.208333333,sa3008955,2B
2019,Ayendy Ortiz,Astros (R),17,24,62,68,9,6,3,0,0,3,3,6,0,29,0,0,0,1,1,1,0.14516129,sa3009278,2B
2019,Raul Campos,Marlins (R),17,25,86,97,13,10,2,0,1,10,9,9,0,25,0,1,1,1,2,1,0.15116279,sa3009282,2B
2019,Jean Puntiel,Angels (R),17,16,49,58,13,11,1,0,1,8,4,8,0,14,0,0,1,1,3,0,0.265306122,sa3009283,2B
2019,Esmil Torres,Reds (R),17,30,106,134,27,21,3,1,2,20,20,26,0,17,0,1,1,1,12,5,0.254716981,sa3009284,2B
2019,Alexeis Azuaje,Phillies (R),17,32,120,129,33,19,7,2,5,26,16,3,0,29,4,2,0,0,7,2,0.275,sa3009286,2B
2019,Ender Avendano,Dodgers (R),17,34,114,142,28,24,3,1,0,23,12,24,0,31,3,1,0,1,7,3,0.245614035,sa3009293,2B
2019,Luis Izturis,Dodgers (R),17,31,102,132,23,17,3,0,3,27,11,25,0,40,4,0,1,0,6,4,0.225490196,sa3009295,2B
2019,Eliazer Montero,Pirates (R),18,35,92,108,23,16,4,3,0,17,10,13,0,22,2,1,0,1,7,3,0.25,sa3009300,2B
2019,Jose Rodriguez,Twins (R),17,25,89,98,17,12,3,1,1,12,7,7,0,14,1,0,1,2,3,1,0.191011235,sa3009304,2B
2019,Jose Colmenares,Yankees (R),17,22,76,88,17,13,3,0,1,12,9,8,0,15,2,1,1,1,2,1,0.22368421,sa3009309,2B
2019,Rayber Romero,Pirates (R),17,22,76,95,28,25,2,0,1,22,16,12,1,10,4,0,3,2,12,3,0.368421052,sa3009316,2B
