Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Carter Bins,Mariners (A-),20,33,99,133,17,13,0,0,4,21,11,25,0,38,8,1,0,1,3,1,0.171717171,sa1115884,C
2019,Nick Kahle,Brewers (R),21,25,91,105,23,13,5,0,5,15,17,13,0,21,1,0,0,2,1,0,0.252747252,sa1115979,C
2019,Mitch Calandra,Braves (R),22,16,62,66,17,13,4,0,0,12,4,3,0,12,1,0,0,1,0,0,0.274193548,sa1116000,C
2019,Kyle McCann,Athletics (A-),21,30,106,125,21,15,2,0,4,13,10,17,1,38,2,0,0,3,0,0,0.198113207,sa1159677,C
2019,Jakob Goldfarb,White Sox (R),23,14,39,51,6,4,1,0,1,7,3,9,0,13,3,0,0,0,1,0,0.153846153,sa1159694,C
2019,Eric Yang,Reds (R),21,24,77,97,28,19,6,0,3,13,21,9,0,22,6,4,1,4,0,0,0.363636363,sa1169769,C
2019,Jonathan Embry,Rays (A-),22,14,49,60,7,5,2,0,0,3,5,9,0,13,2,0,0,1,1,1,0.142857142,sa1169879,C
2019,Matt O'Neill,Mets (R),21,13,36,50,7,5,1,1,0,5,3,10,0,12,2,1,1,0,0,0,0.194444444,sa1170279,C
2019,Anthony Mulrine,Angels (R),21,21,61,79,17,9,6,1,1,12,12,7,0,16,10,1,0,2,0,1,0.278688524,sa1170373,C
2019,Ethan Goforth,Pirates (R),22,13,43,47,6,3,2,0,1,3,2,1,0,13,3,0,0,0,0,1,0.139534883,sa1170379,C
2019,Casey Combs,Marlins (R),22,10,24,30,6,6,0,0,0,4,1,2,0,4,2,0,2,0,1,0,0.25,sa1170432,C
2019,Alex Isola,Twins (A),20,13,43,48,11,6,3,0,2,5,6,4,0,6,0,1,0,1,0,0,0.255813953,sa1170516,C
2019,Justin Gomez,Reds (R),22,12,40,45,10,6,2,1,1,4,7,4,0,13,1,0,0,0,1,0,0.25,sa1170620,C
2019,Dylan Shockley,Pirates (R),22,13,42,50,9,7,2,0,0,4,5,3,0,14,3,2,0,0,1,0,0.214285714,sa1170874,C
2019,Ryan Sloniger,Blue Jays (R),22,16,54,63,21,16,0,1,4,11,11,6,0,9,3,0,0,3,0,0,0.388888888,sa1171013,C
2019,Kyle Skeels,Cardinals (R),22,15,54,60,15,12,2,0,1,5,5,3,0,15,2,1,0,2,0,0,0.277777777,sa1171189,C
2019,Anthony Morales,Blue Jays (R),20,12,42,45,6,5,1,0,0,5,2,2,0,12,1,0,0,0,0,0,0.142857142,sa1172775,C
2019,Eric Rodriguez,Indians (A-),20,14,43,49,6,3,3,0,0,2,3,4,0,6,0,1,1,1,0,0,0.139534883,sa185525,C
2019,Luis Santana,Orioles (R),20,20,56,58,9,8,1,0,0,6,3,0,0,7,1,0,1,3,0,0,0.160714285,sa3002629,C
2019,Wilmer Perez,Nationals (A-),21,19,72,80,18,13,3,0,2,10,8,6,0,6,1,1,0,1,0,1,0.25,sa3002634,C
2019,Geraldi Diaz,Nationals (R),18,15,51,57,12,9,2,0,1,8,4,3,0,7,2,0,1,0,0,0,0.235294117,sa3002635,C
2019,Juan Mendez,Phillies (R),20,17,58,70,16,9,5,0,2,9,11,12,0,7,0,0,0,2,2,1,0.275862068,sa3002700,C
2019,Juan Aparicio,Phillies (A-),19,32,107,121,40,25,10,4,1,14,15,9,0,22,5,0,0,0,3,2,0.373831775,sa3002710,C
2019,Axel Andueza,Diamondbacks (R),20,33,136,147,41,33,5,2,1,24,12,7,0,20,1,3,0,9,0,1,0.301470588,sa3002712,C
2019,Freddy Barreto,Phillies (R),19,10,28,34,8,5,3,0,0,2,6,3,0,5,1,2,0,1,0,1,0.285714285,sa3002713,C
2019,Ben Breazeale,Orioles (A),24,60,210,239,49,39,9,0,1,24,21,27,0,50,2,0,0,4,0,1,0.233333333,sa3002753,C
2019,Nic Motley,Rockies (A-),22,12,37,40,8,7,0,0,1,4,3,3,0,13,0,0,0,1,0,0,0.216216216,sa3002761,C
2019,Daulton Varsho,Diamondbacks (AA),22,84,304,351,83,51,18,2,12,59,41,34,1,45,10,3,0,3,16,3,0.273026315,sa3002838,C
2019,Jalen Washington,Padres (A+),24,45,142,164,31,21,5,3,2,18,15,13,0,34,6,2,1,3,4,1,0.218309859,sa3002884,C
2019,Carlos Quintero,Astros (R),19,10,27,32,2,1,1,0,0,1,1,4,0,14,1,0,0,0,0,1,0.074074074,sa3003100,C
2019,Hagen Owenby,Braves (A),23,16,66,71,23,18,2,2,1,6,5,4,0,23,1,0,0,1,0,0,0.348484848,sa3003180,C
2019,Ivan Herrera,Cardinals (A),19,69,248,291,71,53,10,0,8,41,42,35,1,56,5,3,0,11,1,1,0.286290322,sa3003191,C
2019,David Garcia,Rangers (A-),19,28,105,119,27,15,7,0,5,21,15,12,0,22,1,1,0,4,1,0,0.257142857,sa3003197,C
2019,Jhoneiker Betancourt,White Sox (R),19,23,72,93,25,18,5,1,1,21,10,13,1,12,8,0,0,0,1,3,0.347222222,sa3003225,C
2019,Gabriel Moreno,Blue Jays (A),19,54,202,225,63,39,11,4,9,35,35,13,0,21,6,4,0,5,5,1,0.311881188,sa3003226,C
